file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0211_0144_969951_to_973540,དཀའ་སྡུག་ག་རེ་མྱངས་དངོས་བྱུང་ནས་འདྲ། གུས་གུས་ཞུམ་ཞུམ་བྱེད་པར་ག་རེ་ཡོད་རེད་ཨ།  ,dka' sdug ga re myangs dngos byung nas 'dra/_gus gus zhum zhum byed par ga re yod red a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0211_0144_969951_to_973540.wav,STT_MV,3,78,3.589,wav16k/STT_MV0211_0144_969951_to_973540.wav,དཀའ་སྡུག་ག་རེ་མྱང་དགོས་བྱུང་ནས་འདྲ། གུས་གུས་ཞུབ་འཇུག་བྱེད་པ། ག་རེ་ཡོད་རེད་ཨ།
STT_MV0211_0145_973540_to_980107,ཨ་ཙི། པ་ལགས། ཁྱེད་རང་གིས་ང་བྱསམ་གནང་བྱས་སྔ་སེ་ཆང་ས་བརྒྱབ། གཉེན་སྒྲིག་བྱེད་རོགས་བྱས་ན་དགོངས་ཀི་ཡོད་རེད།  ,a tsi/_pa lags/_khyed rang gis nga byasam gnang byas snga se chang sa brgyab/_gnyen sgrig byed rogs byas na dgongs ki yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0211_0145_973540_to_980107.wav,STT_MV,3,104,6.567,wav16k/STT_MV0211_0145_973540_to_980107.wav,ཨ་ཙི། པཱ་ལགས། ཁྱེད་རང་གིས་ངར་ཟང་གནང་བྱས། སྔ་ཙི་ཆང་ས་བརྒྱབ། གཉེན་སྒྲིག་བྱེད་རོགས་བྱས་ན་དགོངས་ཀི་ཡོད་རེད།
STT_MV0211_0148_991922_to_997318,ང་དང་ཏར་ནག་མ་གཞི་དགའ་རོགས་མ་སྒྲིག་ན། ངེད་གཉིས་རོགས་པ་དཀྱིལ་མའི་འབྲེལ་བ་དེ་རྒྱུན་འཁྱོངས་བྱས་ན་ད་ག་རེད་བ།  ,nga dang tar nag ma gzhi dga' rogs ma sgrig na/_nged gnyis rogs pa dkyil ma'i 'brel ba de rgyun 'khyongs byas na da ga red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0211_0148_991922_to_997318.wav,STT_MV,3,105,5.396,wav16k/STT_MV0211_0148_991922_to_997318.wav,ང་དང་ད་ན་མ་གཞི་དགའ་རོགས་མ་སྒྲིས་ནས། ང་གཉིས་རོགས་པ་དཀྱུས་མའི་འབྲེལ་བ་དེ་རྒྱུན་འཁྱོངས་བྱས་ན་ད་ག་རེད་པ།
STT_MV0502_0275_2250893_to_2252600,དཔུང་འཇུག་བྱེད། ཧན་ཧན།  ,dpung 'jug byed/_han han/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0502_0275_2250893_to_2252600.wav,STT_MV,3,24,1.707,wav16k/STT_MV0502_0275_2250893_to_2252600.wav,དཔུང་འཇུག་བྱེས།
STT_MV0211_0185_1203707_to_1209088,དངུལ་སྣང་བ་མ་ཕྱིན་པ་བྱས། དངུལ་རང་ལ་སོ་རྒྱག་གི་འདུག་གེ ཨ་ཙི། ང་ལ་དངུལ་མི་དགོས་ཅེ། ང་ལ་དངུལ་ཡོད།  ,dngul snang ba ma phyin pa byas/_dngul rang la so rgyag gi 'dug ge_a tsi/_nga la dngul mi dgos ce/_nga la dngul yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0211_0185_1203707_to_1209088.wav,STT_MV,3,96,5.381,wav16k/STT_MV0211_0185_1203707_to_1209088.wav,དངུལ་སྣང་བ་མ་ཕྱིན་པ་བྱས། དངུལ་རང་སོ་བརྒྱབ་ཀི་འདུག་གེ ཨ་ཙི། ང་དངུལ་མི་དགོས་པ་བྱས། ང་དངུལ་ཡོད་པ་ཁྱེད་རང་གཉིས་ཕ་སོ་ཡོ་།
STT_MV0211_0170_1121289_to_1127294,ང་རང་ཚོའི་ནང་ལ་མི་ག་ཚོད་ཡོད་པ་དང་རྒྱ་ཁྱོན་ག་ཚོད་ཡོད་མེད་ཐོ་བཀོད་ཟེར་གི་འདུག དངོས་གནས་ཨེ། བྱས་ན་ད་རེས་དངོས་གནས་ཤིག་མྱི་ཡིན་པ་རེད།  ,nga rang tsho'i nang la mi ga tshod yod pa dang rgya khyon ga tshod yod med tho bkod zer gi 'dug_dngos gnas e/_byas na da res dngos gnas shig myi yin pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0211_0170_1121289_to_1127294.wav,STT_MV,3,130,6.005,wav16k/STT_MV0211_0170_1121289_to_1127294.wav,ང་རང་ཚོའི་ནང་ལ་མི་ག་ཚོད་ཡོད་པ་དང།རྒྱབ་སྐྱོང་ག་ཚོད་ཡོད་མེད་ཐོ་རྒོད་མེ་འདུག་ག བྱས་ན་ད་རིས་དངོས་གནས་ཤེས་མྱི་ཡིན་པ་རེད།
STT_MV0211_0187_1216650_to_1221956,གཅིག་བརྒྱ་སྟོང་ཁྲི། ཁྲི་ལྔ་ལ། ཨ་མ། མང་པོ་དེ་འདྲ་སྤྲད་འདུག་བེ་ལགས། རེད་ད།  ,gcig brgya stong khri/_khri lnga la/_a ma/_mang po de 'dra sprad 'dug be lags/_red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0211_0187_1216650_to_1221956.wav,STT_MV,3,74,5.306,wav16k/STT_MV0211_0187_1216650_to_1221956.wav,གཅིག་བཅུག་བརྒྱ་སྟོང་ཁྲི། ཁྲི་ལྔ་ལ། འོཨ་མ མང་པོ་དེ་འདྲས་སྤྲད་ཀི་འདུག་གེ་ལ། རེད་ད། ཧ
STT_MV0211_0188_1221956_to_1226425,ས་ཆར་རིན་ཐང་ཆེན་པོ་དེ་འདྲ་ཡོད་བ་རེད། ཨ་ཅང་ཅང་། ཚང་མས་གཅིག་ཤོད་ད།  ,sa char rin thang chen po de 'dra yod ba red/_a cang cang /_tshang mas gcig shod da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0211_0188_1221956_to_1226425.wav,STT_MV,3,66,4.469,wav16k/STT_MV0211_0188_1221956_to_1226425.wav,ས་ཆ་རིན་ཐང་ཆེན་པོ་འདེ་འདྲས་ཡོད་པ་རེད། ཨ་ཅང་ཅང་། ཡ་ ཚང་མས་གཅིག་ཤོད་ད།
STT_NS_M0509_0178_908270_to_910674,ཚིག་བཙལ་ག་ང་ཚོ་འགྲོ་མྱོང་ཁོ་རང་མེད་རཱ་དངོས་གནས་ཁོ་རང་།  ,tshig btsal ga nga tsho 'gro myong kho rang med rA dngos gnas kho rang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0509_0178_908270_to_910674.wav,STT_NS,3,56,2.404,wav16k/STT_NS_M0509_0178_908270_to_910674.wav,ཚིག་ཚོད་དག་ང་ཚོ་འགྲོ་མྱོང་ཁོ་རང་མེད་རཱ་དངོས་གནས་ཁོ་རང་།
STT_MV0211_0165_1092400_to_1099088,མར་ཤོག་ད་ཅེ། ཨ་ཙི། ད་གློག་ཀླད་རྩེ་དགོས་མ་རེད། གློག་ཀླད་ཉུང་སེ་རྩེས་ད། རང་གཟུགས་པོ་ཐང་དུ་འགྲོ་གི་རེད། ཡ་ཡ་ཡ། ངས་ཚོགས་འདུ་འཚོགས།  ,mar shog da ce/_a tsi/_da glog klad rtse dgos ma red/_glog klad nyung se rtses da/_rang gzugs po thang du 'gro gi red/_ya ya ya/_ngas tshogs 'du 'tshogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0211_0165_1092400_to_1099088.wav,STT_MV,3,128,6.688,wav16k/STT_MV0211_0165_1092400_to_1099088.wav,མར་ཤོག་ད་བྱས། ཨ་ཙི། ད་གློག་ཀླད་རྩེ་དགོས་མ་རེད། གློག་ཀླད་ཉུང་ཙི་རྩིས་ད། རང་གཟུགས་པོ་ཐང་རུ་འགྲོ་གི་རེད། ཡ་ཡ་ཡ། ངས་ཚོགས་འདུ་འཚོགས་དགོས།
